RFC,RAZON SOCIAL,SUPUESTO,EJERCICIO,PERIODO,FECHA DE PRIMERA PUBLICACION
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,5,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,5,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,6,23/07/2024
MTM850101U16,MUNICIPIO DE TINGAMBATO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,6,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,6,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,6,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,6,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,6,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,7,23/07/2024
MTM850101U16,MUNICIPIO DE TINGAMBATO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,7,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,7,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,7,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,7,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,7,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,8,23/07/2024
MAM850101N93,MUNICIPIO DE APORO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,8,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,8,23/07/2024
MTM850101U16,MUNICIPIO DE TINGAMBATO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,8,23/07/2024
OOM0002024W1,"ORGANISMO OPERADOR MUNICIPAL DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE TUXPAN, NAYARIT. SIN TIPO DE SOCIEDAD",FRACCION VII,2021,8,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,8,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,8,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,8,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,8,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,8,23/07/2024
MSG850101848,MUNICIPIO DE SOLEDAD DE GRACIANO SANCHEZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,8,23/07/2024
MLT850101G65,MUNICIPIO DE LERDO DE TEJADA VER SIN TIPO DE SOCIEDAD,FRACCION VII,2021,8,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MBM8501014W1,MUNICIPIO DE BUENAVISTA MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MSG850101848,MUNICIPIO DE SOLEDAD DE GRACIANO SANCHEZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MLT850101G65,MUNICIPIO DE LERDO DE TEJADA VER SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MBM8501014W1,MUNICIPIO DE BUENAVISTA MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MSC850101PSA,MUNICIPIO DE SANTA CATARINA MECHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MLT850101G65,MUNICIPIO DE LERDO DE TEJADA VER SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
ITS021201J65,INSTITUTO TECNOLOGICO SUPERIOR DE LORETO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MLM850101HD2,MUNICIPIO DE LUIS MOYA Z SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MBM8501014W1,MUNICIPIO DE BUENAVISTA MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MSC850101PSA,MUNICIPIO DE SANTA CATARINA MECHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MSM850101AR4,MUNICIPIO DE SANTA MARIA YOSOYUA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MLT850101G65,MUNICIPIO DE LERDO DE TEJADA VER SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MBM8501014W1,MUNICIPIO DE BUENAVISTA MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MLT850101G65,MUNICIPIO DE LERDO DE TEJADA VER SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MTA8501016G6,MUNICIPIO DE TANCOCO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MTP850101EU1,MUNICIPIO DE TEOTLALCO PUEBLA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MTP850101EU1,MUNICIPIO DE TEOTLALCO PUEBLA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
ICE050113LV7,INSTITUTO DE CATASTRO DEL ESTADO DE TLAXCALA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MNS941202UQ9,MUNICIPIO DE EL NARANJO SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MMN74010184A,MUNICIPIO DE MINA NUEVO LEON SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MNS941202UQ9,MUNICIPIO DE EL NARANJO SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MBM8501014W1,MUNICIPIO DE BUENAVISTA MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MMN74010184A,MUNICIPIO DE MINA NUEVO LEON SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MNS941202UQ9,MUNICIPIO DE EL NARANJO SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MMN74010184A,MUNICIPIO DE MINA NUEVO LEON SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
